id,title,original_language,tagline,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,release,genre_names
831410,Bring It On: Cheer or Die,en,Bring on the thrills. Bring on the kills. Bring on the cheer.,2022-09-27,253614,34,6.2,0,0,0,True,Comedy; Horror; Thriller; TV Movie
833425,No Exit,en,Who will survive the dead of winter?,2022-02-25,252675,750,7,0,0,96,True,Horror; Mystery; Thriller
803114,The Requin,en,Terror will surface.,2022-01-28,248496,191,4.7,0,0,89,True,Horror; Thriller
55341,Jeepers Creepers 3,en,Third Time's the Charm,2017-09-26,246189,692,4.9,6200000,3600000,100,True,Horror; Mystery; Thriller
460458,Resident Evil: Welcome to Raccoon City,en,Witness the beginning of evil.,2021-11-24,245332,1831,6.1,40000000,38600612,107,True,Action; Horror; Science Fiction
960258,Shark Bait,en,Terror runs deep.,2022-05-13,242754,163,6,0,0,87,True,Action; Adventure; Horror; Thriller
639721,The Addams Family 2,en,Unhappy to see you again.,2021-10-01,241156,953,7.1,0,119815153,93,True,Adventure; Animation; Comedy; Family; Fantasy; Horror
474350,It Chapter Two,en,You'll Float Again,2019-09-04,230451,7221,6.9,79000000,473122525,170,True,Fantasy; Horror
852485,She Will,en,Unleash the past.,2022-07-15,229223,24,5.6,0,40958,95,True,Drama; Horror; Thriller
895744,Studio 666,en,He gives new meaning to a killer track.,2022-02-24,227919,106,6.3,0,3000776,106,True,Comedy; Horror; Music
869399,The Passenger,es,Don't sit next to her,2022-06-03,220766,25,6.4,0,0,90,True,Horror
697799,WarHunt,en,The war was just the beginning.,2022-01-21,215537,60,5.1,0,0,93,True,Action; Fantasy; Horror; Thriller; War
632357,The Unholy,en,Be careful who you pray to.,2021-03-31,207113,1737,6.7,10000000,30833138,99,True,Horror; Mystery
814800,Goodnight Mommy,en,The darkest family secrets stay under wraps.,2022-09-16,198775,159,6.2,0,0,91,True,Drama; Horror; Thriller
893370,Virus:32,es,32 seconds to live or die.,2022-04-21,198632,155,7.2,0,0,90,True,Horror
602223,The Forever Purge,en,The rules are broken.,2021-06-30,198269,1904,7.2,18000000,76994245,103,True,Action; Horror; Thriller
482373,Don't Breathe 2,en,Bad things happen to bad people.,2021-08-12,196003,1847,7.3,10000000,45000000,98,True,Horror; Thriller
8922,Jeepers Creepers,en,What’s eating you?,2001-07-01,195983,2395,6.4,10000000,59217789,90,True,Horror; Thriller
531219,Roald Dahl's The Witches,en,They're real!,2020-10-25,192006,2331,6.4,0,26900000,106,True,Adventure; Comedy; Family; Fantasy; Horror
820511,Ripper Untold,en,No one is safe.,2021-06-28,187478,107,6.2,0,0,85,True,Horror
982543,V for Vengeance,en,,2022-06-07,185965,49,6.8,0,0,85,True,Action; Horror
138843,The Conjuring,en,Based on the true case files of the Warrens,2013-07-18,173527,9735,7.5,13000000,319494638,112,True,Horror; Thriller
11351,Jeepers Creepers 2,en,He can taste your fear.,2003-08-08,169063,1287,6.1,17000000,63102666,104,True,Horror
830788,The Invitation,en,You are cordially invited to a nightmare generations in the making.,2022-08-24,168001,176,6.3,10000000,30000000,105,True,Horror; Thriller
897424,Dark Cloud,en,,2022-05-09,167344,60,6.6,0,0,81,True,Horror; Science Fiction; Thriller
829358,Queen of Spades,en,She will reign.,2021-06-11,164687,66,6.6,0,0,91,True,Horror
926762,Living with Chucky,en,It Isn't Child's Play,2022-08-13,163646,2,2,0,0,105,True,Documentary; Horror
870671,The Hunting,en,Hunger runs deep.,2022-01-21,163448,28,4.9,0,0,91,True,Horror
938596,Bull Shark,en,,2022-02-05,161874,52,5.5,0,0,80,True,Horror; Thriller
424139,Halloween,en,Face Your Fate.,2018-10-18,158374,3974,6.5,10000000,253688035,106,True,Horror; Thriller
520763,A Quiet Place Part II,en,Silence is not enough.,2021-05-21,153956,4721,7.6,61000000,297372261,97,True,Horror; Science Fiction; Thriller
609972,Paranormal Activity: Next of Kin,en,The activity is reborn.,2021-10-29,149767,426,6.4,0,0,98,True,Horror; Mystery; Thriller
631843,Old,en,It's only a matter of time.,2021-07-21,148823,3080,6.5,18000000,90112510,108,True,Horror; Mystery; Thriller
522444,Black Water: Abyss,en,Descend into fear,2020-07-09,147567,351,5.1,0,0,98,True,Adventure; Horror; Mystery; Thriller
159211,The Haunting of Helena,en,She's coming for her.,2013-01-14,142934,129,5.5,0,0,87,True,Horror; Thriller
75624,Naruto Shippuden the Movie: Blood Prison,ja,,2011-07-30,142096,404,7.2,0,0,108,True,Action; Animation; Comedy; Horror; Mystery; Thriller
11932,Bride of Chucky,en,Chucky gets lucky.,1998-10-16,139831,1495,6,25000000,50671850,89,True,Comedy; Horror
666479,Sonríe,eo,,2012-10-23,138633,1,2,0,0,0,True,Horror
23823,Wrong Turn 3: Left for Dead,en,What you don't see will kill you.,2009-10-20,138012,904,5.6,3000000,0,91,True,Horror; Thriller
775943,Tarumama,es,,2021-07-29,137971,27,4.5,0,0,90,True,Drama; Horror
72190,World War Z,en,Remember Philly!,2013-06-20,131399,13440,6.8,200000000,531865000,116,True,Action; Drama; Horror; Science Fiction; Thriller
439079,The Nun,en,Pray For Forgiveness,2018-09-05,131032,5393,5.8,22000000,365550119,96,True,Horror; Mystery; Thriller
811072,Two,es,,2021-07-23,127062,266,5.4,0,0,71,True,Horror; Thriller
184345,A Haunted House 2,en,It'll scare the #2 out of you.,2014-04-17,125807,1126,6,4000000,25343661,87,True,Comedy; Horror
71672,Wrong Turn 4: Bloody Beginnings,en,Frost Is Not The Only Thing That Bites In the Snow!,2011-10-17,125455,857,5.7,3000000,0,93,True,Horror; Thriller
13186,Wrong Turn 2: Dead End,en,Evil Awaits.,2007-08-25,123581,1084,6,4000000,0,96,True,Horror; Thriller
943221,Mal de Ojo,es,,2022-09-22,122085,4,3.3,0,0,0,True,Horror
504175,Chucky's Vacation Slides,en,,2005-06-07,119795,7,6.3,0,0,3,True,Comedy; Horror
561,Constantine,en,"Hell wants him, Heaven won't take him, Earth needs him.",2005-02-08,119677,5863,7,100000000,230884728,121,True,Action; Fantasy; Horror
516329,Antlers,en,Pray it desires not you.,2021-10-28,119584,782,6.3,0,18312201,99,True,Drama; Horror; Mystery
630586,Wrong Turn,en,This land is their land.,2021-01-26,119017,804,6,0,3777969,110,True,Horror; Thriller
345940,The Meg,en,Chomp On This,2018-08-09,116512,6068,6.2,150000000,530243742,113,True,Action; Horror; Science Fiction
393345,Cult of Chucky,en,You may feel a little prick,2017-10-23,116318,959,5.8,6500000,2200000,91,True,Horror; Thriller
481084,The Addams Family,en,Think your family is weird?,2019-10-10,116021,1851,6.6,40000000,203044905,86,True,Animation; Comedy; Family; Fantasy; Horror
672582,The Deep House,en,Breathe while you still can.,2021-06-30,115268,717,6.3,0,0,81,True,Horror
125509,Wrong Turn 5: Bloodlines,en,The inbred hillbillies are back!,2012-10-23,112707,750,5.4,3000000,0,91,True,Horror; Thriller
523936,Meander,fr,You have just woken up stuck in a pipe full of deadly traps. How far will you go?,2021-05-26,112295,284,6,0,700000,91,True,Drama; Horror; Science Fiction; Thriller
591273,Fear Street: 1994,en,Face the evil.,2021-06-28,111397,1708,6.8,0,0,107,True,Fantasy; Horror; Mystery
22894,Legion,en,"When the last angel falls, the fight for mankind begins.",2010-01-21,110404,2190,5.8,26000000,67918658,100,True,Action; Fantasy; Horror
663712,Terrifier 2,en,Who's laughing now?,2022-10-06,109994,1,8,0,0,138,True,Horror; Thriller
10585,Child's Play,en,,1988-11-09,108342,2335,6.6,9000000,44196684,87,True,Horror
139038,A Haunted House,en,This $*%! ain't paranormal.,2013-01-11,108186,1499,5.8,2500000,60141683,86,True,Comedy; Horror
346364,It,en,Your fears are unleashed,2017-09-06,106786,16900,7.2,35000000,701842551,135,True,Fantasy; Horror
998340,Smile,en,,2016-11-16,106579,0,0,0,0,15,True,Horror
280002,The Remaining,en,"After the rapture, there are fates worse than death.",2014-08-25,106016,285,5.7,0,1169603,88,True,Horror; Thriller
591274,Fear Street: 1978,en,Find the truth.,2021-07-08,105156,1406,7.3,0,0,110,True,Fantasy; Horror; Mystery
760195,Separation,en,It won't let go.,2021-04-30,104611,161,5.8,0,0,107,True,Drama; Horror
843906,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,en,Ooga! Booga! Booga!,2021-09-14,103618,318,8.1,0,0,72,True,Animation; Comedy; Family; Fantasy; Horror; Mystery
879497,Smile,en,,2022-08-17,103393,2,4,0,0,7,True,Horror
913290,Barbarian,en,Some stay for a night. Some stay for a week. Some never leave.,2022-09-08,102826,61,7.2,10500000,30000000,103,True,Horror; Mystery; Thriller
11249,Seed of Chucky,en,Time to raise some hell.,2004-11-11,102731,1252,5.4,12000000,24829644,87,True,Comedy; Horror
40012,Raising Jeffrey Dahmer,en,Would you still love your son even if he grew up to be Jeffrey Dahmer?,2006-04-13,102665,4,6.8,0,0,100,True,Drama; Horror
9552,The Exorcist,en,"Something almost beyond comprehension is happening to a girl on this street, in this house… and a man has been sent for as a last resort. This man is The Exorcist.",1973-12-26,101991,6535,7.7,11000000,441306145,122,True,Horror
723072,Host,en,Someone new has joined the meeting.,2020-12-04,101167,599,6.5,0,26745,57,True,Horror; Mystery; Thriller
503736,Army of the Dead,en,Survivors take all.,2021-05-14,99777,3233,6.3,0,780000,148,True,Action; Crime; Horror; Thriller
871964,Nobody Sleeps in the Woods Tonight 2,pl,,2021-10-27,99361,244,4.7,0,0,97,True,Comedy; Horror; Thriller
11186,Child's Play 2,en,Sorry Jack... Chucky's back!,1990-11-09,97858,1434,6.2,13000000,35763605,84,True,Horror; Thriller
2082,Halloween,en,Evil has a destiny.,2007-08-31,97161,1873,6.2,15000000,80460948,109,True,Horror
676845,Come Play With Me,es,,2021-02-25,96667,155,7,0,1753826,80,True,Horror
617708,La Llorona,es,The past will haunt you.,2019-07-25,96391,271,6.4,0,0,97,True,Drama; Horror; Thriller
630240,Titane,fr,,2021-07-14,96198,903,6.5,6600000,5115725,108,True,Drama; Horror; Thriller
839436,Dragon Fury,en,They thought they could control it. They were wrong.,2021-06-15,96114,38,6,0,0,88,True,Fantasy; Horror; Mystery
25769,Carriers,en,"The rules are simple. You break them, you die...",2009-09-04,95417,1174,6.1,0,5802422,84,True,Action; Drama; Horror; Science Fiction; Thriller
396535,Train to Busan,ko,Life-or-death survival begins.,2016-07-20,94624,5939,7.8,8500000,87547518,118,True,Action; Horror; Science Fiction; Thriller
176,Saw,en,Live or die. Make your choice.,2004-10-01,93053,7650,7.4,1200000,103911669,103,True,Crime; Horror; Mystery
895001,The Whole Truth,th,"A truth you've never known, that makes you doubt what you know.",2021-12-02,92637,148,6.3,0,0,125,True,Drama; Horror; Mystery; Thriller
316727,The Purge: Election Year,en,Keep America great,2016-06-29,91119,4614,6.4,10000000,118587880,105,True,Action; Horror; Thriller
480414,The Curse of La Llorona,en,She Wants Your Children.,2019-04-17,90991,1998,5.7,9000000,122033739,93,True,Horror; Thriller
47044,The Secret Life: Jeffrey Dahmer,en,The fictionalized story of the murders.,1993-01-01,90394,16,5.2,0,0,99,True,Drama; Horror; Thriller
739990,Nightbooks,en,Write for your life.,2021-09-15,90055,274,6.4,0,0,103,True,Family; Fantasy; Horror
861057,Swim,en,,2021-08-13,89783,37,6.5,0,0,87,True,Action; Horror
11187,Child's Play 3,en,There comes a time to put away childhood things. But some things won't stay put!,1991-08-30,89455,1234,5.9,13000000,20560255,90,True,Horror; Thriller
338947,Hellraiser,en,Unlock your fears.,2022-09-28,89225,22,5.8,14000000,0,121,True,Horror; Mystery
514847,The Hunt,en,The Ultimate Human Hunting Experience,2020-03-11,88978,2477,6.7,14000000,42415898,90,True,Action; Horror; Thriller
521029,Annabelle Comes Home,en,Possess them all,2019-06-26,88826,2870,6.4,30000000,231252591,106,True,Horror; Mystery; Thriller
619778,Malignant,en,A new vision of terror.,2021-09-01,88071,1647,6.9,40000000,24640084,111,True,Horror; Mystery; Thriller
776797,The Sadness,zh,It feels...wonderful...,2021-01-22,87317,366,6.7,0,0,99,True,Horror; Thriller
676547,Prey for the Devil,en,It wants in.,2022-10-26,86758,0,0,0,0,93,False,Horror; Thriller
675024,The Exorcism of Carmen Farias,es,,2021-05-05,86707,93,6.1,0,1474579,93,True,Horror
9373,The Texas Chainsaw Massacre,en,Based on a true story...,2003-05-21,86118,2163,6.2,9500000,107363905,98,True,Horror
381288,Split,en,Kevin has 23 distinct personalities. The 24th is about to be unleashed.,2016-11-15,85707,15360,7.3,9000000,278454358,117,True,Horror; Thriller
301804,Before I Wake,en,Fear your dreams.,2016-04-07,84773,1560,6.4,0,3295624,97,True,Drama; Fantasy; Horror; Thriller
493922,Hereditary,en,Every family tree hides a secret.,2018-06-07,84709,6057,7.3,10000000,80239658,128,True,Horror; Mystery; Thriller
9532,Final Destination,en,No accidents. No coincidences. No escapes.,2000-03-17,83626,4585,6.6,23000000,112880294,98,True,Horror
167032,Curse of Chucky,en,Fear has a new home.,2013-10-04,82858,1280,5.9,5000000,3800000,97,True,Horror; Thriller
533642,Child's Play,en,More than a toy... he's your best friend.,2019-06-19,82168,1608,6,10000000,44902237,90,True,Horror
576845,Last Night in Soho,en,"When the past lets you in, the truth will come out.",2021-10-21,81785,2031,7.5,43000000,22957625,117,True,Fantasy; Horror; Mystery; Thriller
158015,The Purge,en,"One night a year, all crime is legal.",2013-05-31,81585,7386,6.3,3000000,89328627,86,True,Horror; Science Fiction; Thriller
396422,Annabelle: Creation,en,You don't know the real story,2017-08-03,81021,4859,6.6,15000000,306515884,110,True,Horror; Mystery; Thriller
754934,Son,en,You can't outrun a family secret.,2021-03-18,80972,206,6,0,0,98,True,Horror; Thriller
786300,Tentacles,en,How well do you know the one you love?,2021-02-12,78121,90,6.2,0,0,84,True,Horror; Romance
57084,Satanic Pandemonium,es,From bride of Christ to slave of Satan!,1975-06-26,77918,55,6.6,0,0,89,True,Horror; Mystery; Thriller
636879,A Nun's Curse,en,She will PREY for you!,2020-05-12,77424,93,6.2,0,0,73,True,Horror
6537,The Orphanage,es,A tale of love.  A story of horror.,2007-05-20,76355,2442,7.2,3400000,78638987,105,True,Drama; Horror; Thriller
751237,Umma,en,A mother’s love never dies.,2022-03-18,74957,162,5.6,0,2118582,83,True,Horror; Mystery
565,The Ring,en,"Before you die, you see…",2002-10-18,73898,5208,6.6,48000000,249348933,115,True,Horror; Mystery
55779,Final Destination 5,en,We all share a common destination.,2011-08-12,73733,2809,6.1,47000000,157887643,92,True,Horror; Mystery
126889,Alien: Covenant,en,The path to paradise begins in hell.,2017-05-09,73672,7298,6.1,97000000,240891763,122,True,Horror; Mystery; Science Fiction
49018,Insidious,en,It's not the House that's Haunted.,2010-09-13,73643,5689,6.9,1500000,97009150,103,True,Horror; Thriller
440,Aliens vs Predator: Requiem,en,The Last Place On Earth We Want To Be Is In The Middle,2007-12-25,73039,2334,5.1,40000000,130290885,94,True,Action; Fantasy; Horror; Science Fiction; Thriller
227348,Paranormal Activity: The Marked Ones,en,Once Marked It Is Already Too Late.,2014-01-01,73028,1235,5.4,5000000,86362372,84,True,Horror; Thriller
257445,Goosebumps,en,The stories are alive.,2015-08-05,72726,3302,6.3,58000000,158162788,103,True,Adventure; Comedy; Horror
6466,Freddy vs. Jason,en,Evil will battle evil.,2003-08-15,72488,2084,6,30000000,116643421,97,True,Horror
874924,Smile,en,,2013-12-01,72103,0,0,10000,0,24,True,Horror; Thriller
23827,Paranormal Activity,en,What Happens When You Sleep?,2007-09-14,71944,4309,6,215000,194183034,85,True,Horror; Mystery
740925,No One Gets Out Alive,en,Don’t try to leave. It’ll only make things worse.,2021-09-29,71919,459,6,0,0,85,True,Horror; Mystery; Thriller
7342,Carrie,en,If only they knew she had the power,2002-11-04,71769,379,6.1,0,0,132,True,Drama; Horror; TV Movie
590995,The Craft: Legacy,en,Let the ritual begin,2020-10-28,71202,615,6.3,0,0,94,True,Drama; Fantasy; Horror
23202,Trick 'r Treat,en,"Poison, Drowning, Claw, Or Knife. So Many Ways To Take A Life.",2007-10-26,70923,1457,7,12000000,0,82,True,Horror
10781,The Texas Chainsaw Massacre: The Beginning,en,What you know about fear... doesn't even come close.,2006-10-05,69979,1445,6.1,16000000,107363905,91,True,Horror; Thriller
745881,The Medium,th,A story about shamanism in Thailand.,2021-07-14,69784,429,7,0,7230000,131,True,Horror; Thriller
310131,The Witch,en,Evil takes many forms.,2015-01-27,69655,5790,6.9,3500000,40423945,92,True,Drama; Fantasy; Horror; Mystery
664356,The Cannibal Killer: The Real Story of Jeffrey Dahmer,en,I Don't Want You To Leave...,2020-01-15,69461,1,2,0,0,0,True,Horror
8329,[REC],es,One witness. One camera,2007-11-23,68845,3576,7.2,1500000,32511655,78,True,Horror; Mystery
681019,Nobody Sleeps in the Woods Tonight,pl,They died without internet.,2020-03-13,68493,535,5.3,0,0,102,True,Horror; Thriller
419430,Get Out,en,"Just because you're invited, doesn't mean you're welcome.",2017-02-24,68431,14721,7.6,4500000,255407969,104,True,Horror; Mystery; Thriller
11152,The Ruins,en,Terror has evolved.,2008-04-02,68279,908,5.9,8000000,22818256,91,True,Horror
250546,Annabelle,en,"Before the Conjuring, there was Annabelle.",2014-10-02,68243,5341,5.7,6500000,257047661,99,True,Horror
11357,Halloween 4: The Return of Michael Myers,en,Horror has returned to Haddonfield.,1988-10-21,68198,1311,6.1,5000000,17800000,88,True,Horror; Thriller
91586,Insidious: Chapter 2,en,It will take what you love most.,2013-09-12,68172,3528,6.7,5000000,161000000,106,True,Horror; Thriller
4232,Scream,en,Someone has taken their love of scary movies one step too far.,1996-12-20,67783,5318,7.4,14000000,173046663,112,True,Crime; Horror; Mystery
715658,The Scientist,en,He found a cure that kills.,2020-09-21,67702,99,6.2,0,0,94,True,Drama; Horror
52520,Underworld: Awakening,en,Vengeance Returns,2012-01-19,67467,3573,6.3,70000000,160112671,88,True,Action; Fantasy; Horror
9286,Final Destination 3,en,This ride will be the death of you.,2006-02-09,67459,3174,6.1,25000000,118890272,93,True,Horror; Mystery
602734,Spiral: From the Book of Saw,en,,2021-05-12,67251,1362,6.1,20000000,40618920,93,True,Crime; Horror; Mystery
591275,Fear Street: 1666,en,End the curse.,2021-07-14,66278,1251,7.3,0,0,114,True,Horror; Mystery
273477,Scouts Guide to the Zombie Apocalypse,en,Always bring protection.,2015-10-23,66029,1580,6.5,15000000,14860766,93,True,Comedy; Horror
670429,Witch Hunt,en,Burn that witch.,2021-10-01,65909,210,6.9,0,0,92,True,Drama; Fantasy; Horror; Thriller
295830,Attack on Titan,ja,,2015-08-01,65388,586,5.9,0,0,98,True,Action; Fantasy; Horror; Science Fiction
82507,Sinister,en,"Once you see him, nothing can save you.",2012-03-29,65319,4563,6.8,3000000,82515113,110,True,Horror; Mystery; Thriller
19908,Zombieland,en,Nut up or shut up.,2009-10-07,65001,10704,7.3,23600000,102391540,88,True,Comedy; Horror
442062,Goosebumps 2: Haunted Halloween,en,Halloween comes to life.,2018-10-11,64989,1234,6.1,35000000,93320380,90,True,Adventure; Comedy; Family; Fantasy; Horror
720026,Butchers,en,Rest in pieces,2020-10-15,64786,152,5,0,0,93,True,Horror
926980,The Privilege,de,,2022-02-09,64231,179,5.1,0,0,107,True,Horror
647302,Benny Loves You,en,Don't throw him out.,2019-11-21,63524,139,6.2,10000,0,94,True,Comedy; Horror
460019,Truth or Dare,en,"First you play the game, then the game plays you.",2018-04-12,63521,3562,6,3500000,95330493,101,True,Horror; Thriller
447332,A Quiet Place,en,"If they hear you, they hunt you.",2018-04-03,63493,12032,7.4,17000000,340677200,91,True,Drama; Horror; Science Fiction
694,The Shining,en,"He came as the caretaker, but this hotel had its own guardians - who'd been there a long time",1980-05-23,63472,14911,8.2,19000000,44781695,144,True,Horror; Thriller
9003,Hellraiser,en,He'll tear your soul apart.,1987-09-11,63431,1933,6.9,1000000,14575193,93,True,Fantasy; Horror
10066,House of Wax,en,Prey. Slay. Display,2005-04-30,63255,2505,5.9,40000000,68766121,113,True,Horror; Thriller
397243,The Autopsy of Jane Doe,en,Every body has a secret.,2016-12-21,63234,3423,6.7,0,5972942,86,True,Horror; Mystery
581392,Peninsula,ko,Escape the apocalypse.,2020-07-15,62868,1971,6.8,17000000,39657073,116,True,Action; Horror; Thriller
9792,The Hills Have Eyes,en,The lucky ones die first.,2006-03-10,62574,2447,6.4,15000000,69623713,107,True,Horror; Thriller
565028,Candyman,en,Dare to say his name.,2021-08-25,62465,1108,6.1,25000000,77389310,91,True,Horror; Mystery; Thriller
793002,Dreamcatcher,en,Get ready for a killer night out.,2021-03-05,62464,93,6,0,0,90,True,Horror; Mystery; Thriller
11284,Freddy's Dead: The Final Nightmare,en,They saved the best for last.,1991-09-05,61784,1029,5.3,11000000,34900000,89,True,Horror; Thriller
13207,Friday the 13th,en,Welcome to Crystal Lake,2009-02-11,61753,2106,5.8,19000000,91509154,97,True,Horror
509635,Alone,en,What are you running from?,2020-09-10,61413,474,6.3,0,0,98,True,Horror; Thriller
116322,The Legend of La Llorona,es,,2011-10-21,61125,191,7.8,0,0,81,True,Animation; Family; Fantasy; Horror
348,Alien,en,In space no one can hear you scream.,1979-05-25,60982,12083,8.1,11000000,104931801,117,True,Horror; Science Fiction
777620,Caged,en,There is no getting out.,2021-01-26,60884,86,6.7,0,0,81,True,Horror; Thriller
420634,Terrifier,en,There is nothing more frightening than a clown after midnight.,2016-10-15,60726,612,6.5,100000,0,84,True,Horror; Thriller
19994,Jennifer's Body,en,She's evil... and not just high school evil.,2009-09-18,60685,3104,5.8,16000000,31556061,107,True,Comedy; Horror
259072,Wrong Turn 6: Last Resort,en,,2014-08-22,60624,664,5.3,1200000,0,91,True,Horror
215,Saw II,en,Oh Yes... There Will Be Blood.,2005-10-28,60408,4357,6.6,4000000,147748505,89,True,Horror
523931,Megalodon,en,Danger Is Rising!,2018-08-10,60183,223,5.7,130178,5303,90,True,Action; Horror; Science Fiction; TV Movie
524251,I See You,en,Evil Hides In Plain Sight,2019-09-11,59919,1041,7,3000000,0,98,True,Crime; Horror; Mystery; Thriller
24150,Halloween II,en,Family Is Forever,2009-08-28,59789,1120,5.4,10000000,39421467,105,True,Horror
340382,Attack on Titan II: End of the World,ja,The world is merciless.,2015-09-01,59771,232,5.9,0,0,87,True,Action; Fantasy; Horror; Science Fiction
16871,Drag Me to Hell,en,"Christine Brown has a good job, a great boyfriend, and a bright future. But in three days, she's going to hell.",2009-03-15,59708,3052,6.4,30000000,90810892,99,True,Horror; Thriller
839440,Dinosaur Hotel,en,The hunt is on. And you're the prey.,2021-06-11,59573,63,5.2,0,0,77,True,Horror; Mystery; Science Fiction
11237,Anacondas: The Hunt for the Blood Orchid,en,The hunters will become the hunted.,2004-08-26,59552,765,5.4,0,0,96,True,Action; Adventure; Horror
14001,Dead Silence,en,You scream. You die.,2007-03-16,59495,1893,6.4,20000000,22217407,89,True,Horror
214,Saw III,en,Suffering? You Haven't Seen Anything Yet...,2006-10-27,59343,3653,6.4,10000000,164874275,114,True,Crime; Horror; Thriller
4488,Friday the 13th,en,"They were warned...They are doomed...And on Friday the 13th, nothing will save them.",1980-05-09,58957,2289,6.4,550000,59754601,95,True,Horror
338967,Zombieland: Double Tap,en,,2019-10-09,58248,4691,7,42000000,122801777,99,True,Comedy; Horror
36647,Blade,en,Part man. Part vampire. All hero.,1998-08-21,57899,4965,6.7,45000000,131183530,121,True,Action; Horror
43947,I Spit on Your Grave,en,It's date night.,2010-06-17,57811,1836,6.5,2000000,572809,108,True,Crime; Horror; Thriller
30497,The Texas Chain Saw Massacre,en,Who will survive and what will be left of them?,1974-10-01,57809,2525,7.3,85000,30900000,83,True,Horror
793967,Phobias,en,What do you fear?,2021-02-28,57696,35,5.2,0,0,85,True,Horror; Thriller
22970,The Cabin in the Woods,en,You think you know the story.,2012-04-12,57429,6741,6.6,30000000,71041255,95,True,Fantasy; Horror
732713,Evil Eye,en,Trust your mother's instincts.,2020-04-01,57106,135,5.5,0,0,90,True,Horror; Mystery; Thriller
714277,The Funeral Home,es,Dare you visit?,2021-04-15,56856,24,4.5,0,0,86,True,Horror
1091,The Thing,en,Man is The Warmest Place to Hide.,1982-06-25,56545,5566,8,15000000,19629760,109,True,Horror; Mystery; Science Fiction
406563,Insidious: The Last Key,en,Fear comes home.,2018-01-03,56103,2313,6.2,10000000,167184112,103,True,Horror; Mystery; Thriller
